name,brand,price,old_price
"Incarcator auto Tellur TLL151261 FCC8, 6A, 36W, QC 3.0, Negru",Tellur,34.9,
"Incarcator priza Tellur TLL151221 HC302,  3 x USB, 4.8 A, Negru",Tellur,39,
"Incarcator priza Tellur TLL151211 HC204,  2 x USB, 2.4A, Negru",Tellur,24.9,
"Incarcator wireless cu suport auto si senzor IR Tellur TLL151201, Negru",Tellur,149.9,
"Baterie externa E-boda QC 30, 30.000 mAh, Quick Charge, Negru",E-BODA,153.9,
"Baterie externa E-boda QC 20, 20.000 mAh, Quick Charge, Negru",E-BODA,99.9,
"Baterie externa E-boda Power 10, 10.000 mAh, Type-C, Negru",E-BODA,49.9,
"Casca bluetooth Tellur Vox 50, Multipoint, Negru",Tellur,52.9,
"Casca bluetooth Tellur Vox 10, Multipoint, Negru",Tellur,39.9,"44,90"
"Casti Tellur Ambia True Wireless, Negru",Tellur,229.9,
"Telefon mobil Nokia 5310 (2020), Dual SIM, Black/Red",Nokia,199.9,
"Smartphone Apple iPhone 12 Mini, 128 GB, White",Apple,4049.9,
"Smartphone Apple iPhone 12 Mini, 64 GB, Black",Apple,3499.9,
"Smartphone Samsung Galaxy S21+ 5G, Dual SIM, 256GB, 8GB Ram, Ultra Phantom Violet",Samsung,5349.9,
"Smartphone Samsung Galaxy S21+ 5G, Dual SIM, 256GB, 8GB Ram, Ultra Phantom Black",Samsung,5349.9,
"Smartphone Samsung Galaxy S21+ 5G, Dual SIM, 128GB, 8GB Ram, Ultra Phantom Black",Samsung,5099.9,
"Smartphone Samsung Galaxy S21+ 5G, Dual SIM, 128GB, 8 GB Ram, Ultra Phantom Silver",Samsung,5099.9,
"Smartphone Samsung Galaxy S21 5G, Dual SIM, 256GB, 8GB Ram, Phantom Gray",Samsung,4349.9,
"Smartphone Samsung Galaxy S21 5G, Dual SIM, 128GB, 8GB Ram, Phantom Pink",Samsung,4099.9,
"Smartphone Apple iPhone 12, 64 GB, Black",Apple,4299.9,
"Baterie externa Poss PSPBWC80DBK, 8000 mAh,  incarcare wireless si cu fir, Qi, Negru",Poss,119.9,
"Casti bluetooth sport Poss PSINB04, ultra usoare, 6 ore autonomie, Negru",Poss,54.9,
"Cablu incarcare lightning Poss PSL-1TSR, 1m, Argintiu",Poss,39.9,
"Cablu Poss PSUBC-1RMWH Type-C - Micro USB, 1 m, Alb",Poss,14.9,
"Casti audio in ear Poss PSEAR181NB, microfon, Albastru",Poss,14.9,
"Casti in ear Poss PSEAR181BK, microfon,  Negru",Poss,14.9,
"Incarcator Hama Power Delivery Qualcomm, 3 A, 18 W, negru",Hama,54.9,
"Incarcator Hama Qualcomm Quick Charge 3.0, negru",Hama,52.9,
"Incarcator auto Hama, USB Type-C, QC 3.0, 3 A, negru",Hama,64.9,
"Casti bluetooth in-ear Hama Connect, microfon, carlige ureche, cablu plat, Alb",Hama,59.9,
"Casti audio Hama Basic4Phone, in-ear, microfon, albastru",Hama,24.9,
"Casti audio Hama Intense, in-ear, microfon, cablu plat, alb/gri",Hama,39.9,
"Casti audio Hama Intense, in-ear, microfon, cablu plat, negru",Hama,39.9,
"Cablu Hama Micro USB 2 in1 cu adaptor USB Type-C, 1 m, Negru",Hama,37.9,
"Cablu 4 in 1 Hama Type C cu adaptor micro USB si USB-A, 1.5 m, Negru",Hama,52.9,
"Cablu Micro USB Hama, ecranat, 1.8 m, Negru",Hama,22.9,
"Cablu Hama USB Type C - USB 3.1 A, 1.5 m, Negru",Hama,39.9,
"Cablu de incarcare/date Hama Lightning, 1 m, Alb",Hama,49.9,
"Cablu de incarcare/date Hama Lightning Metal, 1.5 m, Silver",Hama,49.9,
"Cablu de incarcare/date Hama Micro USB, 1 m, Negru",Hama,9.9,
"Cablu de incarcare/date Hama Micro USB Metal, 1.5 m, Albastru",Hama,20.9,
"Cablu de incarcare/date Hama Lightning Metal, 1.5 m, Negru",Hama,39.9,
"Cablu de incarcare/date Hama USB Type C - Lighting, 1 m, Alb",Hama,44.9,
"Casca bluetooth Tellur Vox 5, Negru",Tellur,34.9,"44,90"
"Power bank Poss PSPBWCP100BK, 10000 mAh, Wireless charging Qi, Micro USB, USB C ",Poss,79.9,
